"age_at_death","birth_date","died","eva_count","eva_duration","fai_flight_count","fai_flight_duration","flown","name","nationality","non_fai_flight_count","non_fai_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1953-11-01","","0","","3","28d 2h 6m 44s","False","Nancy Jan Davis","American","0","","NASA Group 12","0","","Retired"
"","1954-11-27","","0","","0","","False","Frank Maxton DeArmond","American","0","","MSE Group 3","0","","Retired"
"","1942-05-12","","0","","0","","False","Dumitru Dediu","Romanian","0","","1978 Intercosmos Group","0","","Retired"
"72.1","1944-07-27","2016-09-17","0","","0","","False","Anatoli Ivanovich Dedkov","Russian","0","","Air Force Group 5","0","","Deceased"
"","1932-04-09","","0","","0","","False","Vladimir Aleksandrovich Degtyarov","Russian","0","","Air Force Group 3","0","","Retired"
"","1950-07-11","","0","","1","13d 19h 30m 4s","False","Lawrence James DeLucas","American","0","","","0","","Retired"
"28.9","1942","1970-11-30","0","","0","","False","Anatoli Demyanenko","Russian","0","","","0","","Deceased"
"","1955-01-14","","0","","0","","False","Jeffrey Eliot Detroye","American","0","","MSE Group 1","0","","Retired"
"","1962-07-30","","9","1d 13h 36m","2","244d 5h 27m 56s","False","Vladimir N. Dezhurov","Russian","0","","Air Force Group 8","0","","Retired"
"","1947-10-08","","0","","0","","False","Yelena Ivanova Dobrokvashina","Russian","0","","Female Group 2","0","","Retired"
"43.1","1928-06-01","1971-06-30","0","","1","23d 18h 21m 43s","False","Georgi Timofeyevich  Dobrovolsky","Russian","0","","Air Force Group 2","0","","Deceased"
"73.0","1935-11-14","2008-11-13","0","","0","","False","Gennadi Aleksandrovich Dogopolov","Russian","0","","Energia Engineer Group 1","0","","Deceased"
"","1954-09-18","","2","12h 44m","2","31d 10h 46m 31s","False","Takao   Doi","Japanese","0","","NASDA Group 1","0","","Inactive"
"","1981","","0","","0","","False","Matthew Dominick","American","0","","NASA Group 22","0","",""
"","December  1978","","0","","1","33d 6h 28m 29s","False","Chen Dong","Chinese","0","","Group 2","0","","Active"
"","1978-01-30","","0","","0","","False","Pyotr Valerevich Dubrov","Russian","0","","Air Force Group 16","0","","Active"
"","1953-06-20","","0","","4","40d 17h 35m 28s","False","Brian J. Duffy","American","0","","NASA Group 11","0","","Retired"
"","1949-03-03","","0","","5","50d 8h 24m 42s","False","Bonnie Jeanne Dunbar","American","0","","NASA Group 9","0","","Retired"
"","1963-03-14","","0","","2","18d 18h 46m 43s","False","Pedro F. Duque","Spanish","0","","1992 ESA Group","0","","Active"
"","1943-09-17","","0","","2","25d 14h 13m 56s","False","Samuel Thornton Durrance""Sam""","American","0","","","0","","Retired"
"","1968-11-20","","0","","1","15d 2h 47m 10s","False","James P. Dutton","American","0","","NASA Group 19","0","","Inactive"
"72.9","1926-01-11","1998-12-18","0","","1","2d 12m 11s","False","Lev Stepanovich  Dyomin","Russian","0","","Air Force Group 2","0","","Deceased"
"","1951-07-14","","0","","0","","False","Esther Dyson","Swiss","0","","","0","","Inactive"
"","1942-05-13","","2","8h 34m","5","145d 15h 58m 35s","False","Vladimir A. Dzhanibekov","Russian","0","","Air Force Group 5","0","","Retired"
"57.4","1930-06-30","1987-12-02","0","","1","10d 20h 8m","False","Donn Fulton Eisele","American","0","","NASA Group 3","0","","Deceased"
"","1942-05-15","","0","","1","7d 22h 45m 26s","False","Anthony Wayne England""Tony""","American","0","","NASA Group 6","0","","Retired"
"","1932-08-26","","0","","2","9d 8h 30m 54s","False","Joseph Henry Engle""Joe""","American","3","29m 42s","NASA Group 5","13","1h 57m 9s","Retired"
"","1970-11-02","","0","","0","","False","Jeanette Jo Epps","American","0","","NASA Group 20","0","","Active"
"56.4","1933-11-10","1990-04-17","1","1h 6m","1","12d 13h 51m 59s","False","Ronald Ellwin Evans""Ron""","American","0","","NASA Group 5","0","","Deceased"
"","1956-12-18","","0","","1","19d 16h 34m 46s","False","Reinhold   Ewald","German","0","","1990 German Group","0","","Inactive"
"","1957-04-28","","0","","2","68d 21h 31m 59s","False","Léopold   Eyharts","French","0","","CNES Group 3","0","","Active"
